,Mean Difference of Reviews (Single-Double), 0.644282
Single Blind, Mean Difference of Reviews (Treated-Control), 1.877211
Double Blind, Mean Difference of Reviews (Treated-Control), 0.827440
Single-Blind 
ATE, 0.999027 
Median, 0.997971 
True TE, 1.000000
Double-Blind 
ATE, 0.023245 
Median, 0.009420 
True TE, 0.000000
,Mean Difference of Reviews (Single-Double), 0.644282
Single Blind, Mean Difference of Reviews (Treated-Control), 1.877211
Double Blind, Mean Difference of Reviews (Treated-Control), 0.827440
Single-Blind 
ATE, 1.006291 
Median, 1.001616 
True TE, 1.000000
Double-Blind 
ATE, 0.028464 
Median, 0.013325 
True TE, 0.000000
