,quality,venue_area,venue_impact_factor,venue_single-blind,review,embedded_prestige,expit_citation,embedded_experience
0,0.488248507,7,2.885981092,0,4.458829565,7.915378302,0.422953508,0.262402943
1,0.439885565,0,8.036826078,1,4.296197222,0.911610291,0.363419034,0.448443291
2,0.309776589,1,2.725073619,0,3.893210849,3.12366923,0.302994256,0.17217447
3,0.563011495,1,1.659270748,1,5.921439077,33.14912182,0.651098588,0.083504704
4,0.306468396,2,4.788023974,1,3.65789063,0.911610291,0.27942211,0.199310841
5,0.512122057,9,2.945309362,0,5.205904119,33.14912182,0.446793489,0.241999944
6,0.509776445,9,2.945309362,0,4.842995966,5.872958394,0.444805655,0.5
7,0.447829897,2,30.62050318,1,2.655044847,9.647383295,0.429643462,0.237291269
8,0.418668004,3,8.402094848,0,3.509267666,7.984726305,0.371656682,0.159141603
9,0.592154463,1,8.727797183,1,4.927653334,20.69591141,0.667322771,0.040579819
10,0.49585321,3,8.402094848,0,4.218976476,13.44707592,0.497878954,0.28611785
11,0.543252426,6,15.23658774,1,4.10022178,6.854061074,0.534270117,0.259345182
12,0.305074595,1,8.727797183,1,3.785142071,0.736853549,0.268941421,0.058387117
13,0.430258105,4,5.229631394,1,5.144687571,10.2624912,0.435891666,0.19397257
14,0.384120926,4,1.624035873,0,4.892502094,11.72608539,0.36228255,0.344154336
15,0.480765522,1,8.7222919,0,4.377441795,5.755191992,0.401107284,0.5
16,0.48527131,6,2.523482699,1,5.885214027,20.77172514,0.509545371,0.172493292
17,0.614368759,1,0.7034131,1,5.535012321,4.565591008,0.616459942,0.305848534
18,0.56651678,3,28.05221767,0,4.216904601,15.05784232,0.559738745,0.045074401
19,0.489790946,9,2.945309362,0,5.075567981,25.98254154,0.409897473,0.5
20,0.591099219,4,1.624035873,0,5.238916307,11.34444571,0.610831724,0.256962903
21,0.415178565,3,4.731704448,0,4.467908074,0.911610291,0.326789654,0.5
22,0.6007358,3,8.402094848,0,4.706463442,0.911610291,0.594745222,0.217620055
23,0.618260522,4,5.229631394,1,6.603487774,21.92870917,0.69284755,0.035288127
24,0.524394906,3,18.4222621,0,4.040327701,7.872011523,0.522963111,0.039569064
25,0.53777262,4,4.381387002,1,6.641793923,17.17061818,0.542853973,0.258567474
26,0.545893004,3,15.31270024,1,4.321822233,8.394328467,0.490445996,0.48981854
