,quality,venue_area,venue_impact_factor,venue_single-blind,review,prestige,citation,experience
0,0.48824850658099217,7.0,2.8859810921234836,0.0,4.458829565142032,"[7.9587450816311005, 0.2042558668422495, 7.8720115231727075]","[20.0, 1.0, 28.0]","[1.0, 44.75298975105962, 2.7685743551613604]"
1,0.4398855646041264,0.0,8.03682607813124,1.0,4.296197222132945,[0.9116102911900048],[9.0],[1.2299363577221516]
2,0.3097765888293718,1.0,2.7250736190357467,0.0,3.893210848979968,"[0.7368535491284788, 0.2042558668422495, 5.510484910954992, 0.2042558668422495, 0.2042558668422495, 17.874876796148882, 0.2042558668422495]","[1.0, 1.0, 304.0, 1.0, 4.0, 194.0, 1.0]","[18.231875516213695, 63.3160254454324, 17.446436524291183, 1.0, 1.0536100493407183, 20.552576052611947, 18.952306907290826]"
3,0.5630114951959205,1.0,1.6592707479928126,1.0,5.921439077322042,"[33.14912182053814, 7.526741095365884, 33.14912182053814, 0.7368535491284788, 15.057842318652154]","[206.0, 119.0, 488.0, 10.0, 83.0]","[19.49422756315139, 36.041440874871356, 21.230353225807946, 2.9262920247217274, 22.77797228052326]"
4,0.30646839612813087,2.0,4.788023974063692,1.0,3.6578906303718646,"[0.9116102911900048, 0.9116102911900048, 0.7368535491284788]","[1.0, 1.0, 7.0]","[22.669871174383434, 16.95824703399287, 1.0]"
5,0.5121220568303152,9.0,2.9453093619429116,0.0,5.205904118915971,[33.14912182053814],[51.0],[3.1322323640226384]
6,0.5097764453061889,9.0,2.9453093619429116,0.0,4.842995965796632,"[7.526741095365884, 0.9116102911900048]","[21.0, 10.0]","[1.0, 1.0]"
7,0.4478298969839162,2.0,30.620503178646477,1.0,2.6550448471025194,"[0.9116102911900048, 12.559307629658377]","[5.0, 214.0]","[1.330451185803436, 20.987164486260045]"
8,0.41866800362930773,3.0,8.402094847826126,0.0,3.509267666074231,"[0.2042558668422495, 0.9116102911900048, 15.057842318652154]","[5.0, 1.0, 285.0]","[1.3680545632683105, 55.17844618106324, 25.783211687507038]"
9,0.5921544631527128,1.0,8.727797182859028,1.0,4.927653333679646,"[4.836021009022533, 25.982541539254406]","[561.0, 346.0]","[35.39093639968757, 17.628819036166444]"
10,0.4958532095934099,3.0,8.402094847826126,0.0,4.218976476345204,"[0.7368535491284788, 25.982541539254406, 0.9116102911900048]","[14.0, 234.0, 10.0]","[1.3205359626369833, 59.99698378047436, 1.4329457714193565]"
11,0.5432524261403113,6.0,15.236587739881477,1.0,4.100221780249219,"[7.526741095365884, 4.836021009022533]","[35.0, 328.0]","[1.0, 52.503505048025076]"
12,0.3050745950068043,1.0,8.727797182859028,1.0,3.7851420714662964,[0.7368535491284788],[1.0],[16.127065958193114]
13,0.43025810496032885,4.0,5.229631393592403,1.0,5.144687571261553,"[0.7368535491284788, 4.836021009022533, 15.688961399691683]","[3.0, 243.0, 79.0]","[1.0, 25.685590152567464, 21.500071869559438]"
14,0.38412092569310335,4.0,1.6240358727244573,0.0,4.892502093691491,"[0.2042558668422495, 15.057842318652154, 8.39432846738823]","[1.0, 52.0, 203.0]","[1.0, 1.0, 29.804291310341988]"
15,0.48076552239028164,1.0,8.72229189985249,0.0,4.377441795473654,[5.755191991686398],[20.0],[1.0]
16,0.4852713103583056,6.0,2.5234826987157355,1.0,5.885214026788458,"[0.2042558668422495, 33.14912182053814, 8.39432846738823]","[9.0, 325.0, 601.0]","[1.3425926251870308, 19.081755246984848, 23.506218755980882]"
17,0.6143687594240199,1.0,0.7034130996692456,1.0,5.535012320878465,"[8.39432846738823, 0.7368535491284788, 0.2042558668422495]","[1592.0, 1.0, 1.0]","[36.27240069731757, 1.0, 1.5594031063287315]"
18,0.566516780031136,3.0,28.05221766945916,0.0,4.216904601208915,[15.057842318652154],[493.0],[21.185541652360197]
19,0.4897909463499317,9.0,2.9453093619429116,0.0,5.075567980952325,[25.982541539254406],[24.0],[1.0]
20,0.591099218750313,4.0,1.6240358727244573,0.0,5.238916307457304,"[15.057842318652154, 0.2042558668422495]","[849.0, 4.0]","[36.066631508198974, 1.0536100493407183]"
21,0.4151785647865231,3.0,4.7317044481035335,0.0,4.467908074034535,"[0.9116102911900048, 0.9116102911900048]","[4.0, 1.0]","[1.0, 1.0]"
22,0.600735799666447,3.0,8.402094847826126,0.0,4.706463441581394,"[4.836021009022533, 0.9116102911900048, 0.2042558668422495, 0.9116102911900048, 0.2042558668422495]","[943.0, 1.0, 1.0, 4.0, 1.0]","[22.65764203327938, 25.429993301586794, 34.45323486194372, 1.0842510089662603, 1.0]"
23,0.6182605222064617,4.0,5.229631393592403,1.0,6.6034877742201745,"[4.836021009022533, 25.982541539254406, 17.874876796148882]","[819.0, 120.0, 83.0]","[24.56981360066625, 36.57676919218743, 23.91058392799745]"
24,0.524394905517897,3.0,18.42226210250916,0.0,4.040327701284692,[7.8720115231727075],[235.0],[24.27226825475804]
25,0.5377726203195131,4.0,4.381387002275589,1.0,6.641793922518961,"[17.874876796148882, 15.057842318652154]","[27.0, 1062.0]","[1.0, 57.360258392739354]"
26,0.545893004040233,3.0,15.312700240967295,1.0,4.321822233133651,"[8.39432846738823, 8.39432846738823]","[40.0, 21.0]","[1.0849096982151707, 1.0]"
