ego prestige,ego citations,relational prestige,relational citations,avg review score
14,45,264.5,1027.5,0.5555555555555556
500,0,21.5,1050.0,0.5555555555555556
29,2055,257.0,22.5,0.5555555555555556
101,20,67.33333333333333,2749.0,0.5277777777777778
99,0,68.0,2755.6666666666665,0.5277777777777778
4,8201,48.44642857142857,2351.75,0.5717299578059072
99,46,68.0,2740.3333333333335,0.5277777777777778
151,3,250.66666666666666,500.6666666666667,0.25
500,0,134.33333333333334,501.6666666666667,0.25
101,85,267.3333333333333,473.3333333333333,0.25
151,1417,230.0,558.0,0.25
99,2,74.6,10757.2,0.39444444444444443
201,2163,57.6,550.8,0.6083333333333334
99,0,150.0,1082.5,0.375
99,488,169.1818181818182,427.0,1.0
29,41,147.85714285714286,697.8571428571429,1.0
27,1,148.14285714285714,703.5714285714286,1.0
201,9,123.28571428571429,702.4285714285714,1.0
500,0,80.57142857142857,703.7142857142857,1.0
61,522,119.36363636363636,554.4545454545455,0.5952380952380951
48,804,165.30434782608697,997.0,0.7142857142857142
99,3061,137.85714285714286,266.42857142857144,1.0
2,138,108.58333333333333,703.9166666666666,0.5555555555555555
101,55,83.75,1791.5833333333333,0.6814814814814817
99,137,73.5,442.5,1.0
90,182,75.75,431.25,1.0
101,1395,73.0,128.0,1.0
500,0,150.25,390.5,1.0
101,71,175.1875,386.0625,1.0
99,2,175.3125,390.375,1.0
101,87,175.1875,385.0625,1.0
201,391,168.9375,366.0625,1.0
201,20,168.9375,389.25,1.0
500,0,150.25,390.5,1.0
500,0,150.25,390.5,1.0
151,42,172.0625,387.875,1.0
99,39,175.3125,388.0625,1.0
99,52,175.3125,387.25,1.0
29,22,170.8235294117647,1181.1176470588234,0.6000000000000001
99,17,175.3125,389.4375,1.0
2,1853,103.75,2580.9166666666665,0.6319444444444444
75,2360,176.8125,243.0,1.0
500,0,53.0,943.5,0.375
5,5,300.5,941.0,0.375
101,1882,252.5,2.5,0.375
13,735,139.4,220.0,0.7777777777777778
99,5,122.2,366.0,0.7777777777777778
99,0,122.2,367.0,0.7777777777777778
99,74,122.2,352.2,0.7777777777777778
301,383,81.8,290.4,0.7777777777777778
99,638,142.5,1083.875,0.5238095238095238
50,27,105.84615384615384,2901.923076923077,0.576388888888889
4,422,53.0,7459.666666666667,0.5555555555555556
4,5495,53.0,5768.666666666667,0.5555555555555556
151,5336,4.0,5821.666666666667,0.5555555555555556
4,11548,53.0,3751.0,0.5555555555555556
99,347,99.0,123.0,0.42777777777777787
99,198,99.0,281.5,0.625
99,216,99.0,272.5,0.625
